"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","key_press","trial_info","stage","correct_response","valence","i_block","negative_tone","positive_tone","positive_key","frequency","correct","distance","i_generalization_trial","tone","valence_match","responses"
"[{""page_index"":0,""viewing_time"":32961},{""page_index"":1,""viewing_time"":830},{""page_index"":2,""viewing_time"":857},{""page_index"":3,""viewing_time"":1916},{""page_index"":4,""viewing_time"":738},{""page_index"":5,""viewing_time"":1232},{""page_index"":6,""viewing_time"":467},{""page_index"":7,""viewing_time"":853},{""page_index"":8,""viewing_time"":686}]","40540","instructions","0","40541","0.0-0.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","1","42557","0.0-1.0-0.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","821","audio-keyboard-response","2","43431","0.0-1.0-1.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/500","80","","acquisition","","neutral","0","300","700","q","500","","","","","",""
"","null","html-keyboard-response","3","44539","0.0-1.0-2.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%""></font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","46049","0.0-1.0-0.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","101","audio-keyboard-response","5","48557","0.0-1.0-1.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","80","","acquisition","","negative","0","300","700","q","300","false","","","","",""
"","null","html-keyboard-response","6","49668","0.0-1.0-2.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","51180","0.0-1.0-0.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","171","audio-keyboard-response","8","53682","0.0-1.0-1.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","80","","acquisition","","positive","0","300","700","q","700","true","","","","",""
"","null","html-keyboard-response","9","54794","0.0-1.0-2.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","56307","0.0-1.0-0.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","939","audio-keyboard-response","11","57243","0.0-1.0-1.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","80","","acquisition","q","positive","0","300","700","q","700","","","","","",""
"","null","html-keyboard-response","12","58350","0.0-1.0-2.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.00 </font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","59863","0.0-1.0-0.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
